,unitid,inst_name,state_abbr,latitude,longitude,url_athletes,member_conf_baseball,member_ncaa,member_naia,member_njcaa,conf_number_baseball,est_fte,level_of_study,ftpt,income_level,average_grant,net_price,number_applied,number_admitted,number_enrolled_total,sex,reqt_test_scores,sat_crit_read_75_pctl,sat_math_75_pctl,Acceptance_Rate,CONFNO3,Conference_Name,School,...1,instnm,stabbr,city,zip,ugds,insturl,tuitionfee_in,tuitionfee_out,locale,adm_rate,sat_avg,admcon7,npt4_pub,npt4_priv,npt45_pub,npt45_priv,year.x,ID,team_name,Division,Common name...5,Nickname,City,State,Primary,...10,...11,team_id,division.x,year.y,wins,losses,ties,team_name.y.y,division.y,season,total_players,avg_p_height_in,avg_other_height_in,count_Fr,count_So,count_Jr,count_Sr,count_Other,top_state_1,top_state_2,top_state_3,top_state_1_count,top_state_2_count,top_state_3_count
47,110592,California State University-Los Angeles,CA,34.066927,-118.168965,https://www.calstatela.edu/InstitutionalEffectiveness/quick-facts,Yes,Yes,No,No,138,20922,Undergraduate,Full-time,$110 ,1797,15213,29223,26459,4095,Total,Neither required nor recommended,NA,NA,0.905416966,138,California Collegiate Athletic Association,California State University-Los Angeles,204,California State University-Los Angeles,CA,Los Angeles,90032-8506,21478,https://www.calstatela.edu/,6813,18698,11,0.9193,NA,3,4113,NA,14599,NA,latest,100,Cal State LA,NA,NA,NA,NA,CA,NA,NA,NA,596870,2,2025,26,25,0,Cal State LA,2,2025,36,72.14285714,72.18181818,6,6,13,11,0,CA,NA,NA,36,NA,NA
48,409698,California State University-Monterey Bay,CA,36.652397,-121.796178,NA,Yes,Yes,No,No,138,5901,Undergraduate,Full-time,$110 ,1210,19231,10026,9305,779,Total,Neither required nor recommended,NA,NA,0.928086974,138,California Collegiate Athletic Association,California State University-Monterey Bay,3947,California State University-Monterey Bay,CA,Seaside,93955-8001,5811,https://csumb.edu/,7437,19317,22,0.9483,NA,3,14487,NA,23874,NA,latest,30055,Cal St. Monterey Bay,2,"California State University, Monterey Bay",Otters,Seaside,CA,California Collegiate Athletic Association,NA,NA,596806,2,2025,39,19,0,Cal St. Monterey Bay,2,2025,58,73.76,72.22580645,1,2,20,35,0,CA,AZ,Canada,50,1,1
49,110608,California State University-Northridge,CA,34.240126,-118.529319,https://www.csun.edu/admissions-records/your-right-to-know,Yes,Yes,No,No,109,28368,Undergraduate,Full-time,$110 ,1475,18110,23656,20842,4716,Total,Neither required nor recommended,NA,NA,0.881044978,109,Big West Conference,California State University-Northridge,205,California State University-Northridge,CA,Northridge,91330,32357,https://www.csun.edu/,7095,18975,11,0.9315,NA,3,7599,NA,18688,NA,latest,101,CSUN,1,CSUN,Matadors,Northridge,CA,Big West Conference,NA,NA,596508,1,2025,15,34,0,CSUN,1,2025,37,73.1875,71.57142857,8,11,12,6,0,CA,CO,ID,33,1,1
50,110617,California State University-Sacramento,CA,38.559415,-121.423549,NA,Yes,Yes,No,No,137,25465,Undergraduate,Full-time,$110 ,1530,19866,22706,21272,3581,Total,Neither required nor recommended,NA,NA,0.936844887,137,Western Athletic Conference,California State University-Sacramento,206,California State University-Sacramento,CA,Sacramento,95819-2694,27867,https://www.csus.edu/,7602,19482,11,0.9362,NA,3,10512,NA,20649,NA,latest,102,Sacramento St.,1,Sacramento State,Hornets,Sacramento,CA,Big Sky Conference[C 3],NA,NA,596509,1,2025,32,26,0,Sacramento St.,1,2025,39,74.25,73.15789474,12,8,12,7,0,CA,NV,AZ,23,5,3
51,110510,California State University-San Bernardino,CA,34.182622,-117.323801,NA,Yes,Yes,No,No,138,14929,Undergraduate,Full-time,$110 ,2263,16487,13057,11878,2001,Total,Neither required nor recommended,NA,NA,0.909703607,138,California Collegiate Athletic Association,California State University-San Bernardino,196,California State University-San Bernardino,CA,San Bernardino,92407-2393,15771,www.csusb.edu/,7675,19555,12,0.9825,NA,3,5918,NA,15250,NA,latest,93,CSUSB,2,"California State University, San Bernardino",Coyotes,San Bernardino,CA,California Collegiate Athletic Association,NA,NA,596867,2,2025,29,21,0,CSUSB,2,2025,37,72.58823529,72.1,3,4,16,14,0,CA,WA,Canada,31,4,1
52,366711,California State University-San Marcos,CA,33.130569,-117.159013,https://www.csusm.edu/disclosures/documents/athletics-academic-success-rate-report.pdf,Yes,Yes,No,No,138,12701,Undergraduate,Full-time,$110 ,1088,18662,13986,13049,2413,Total,Neither required nor recommended,NA,NA,0.933004433,138,California Collegiate Athletic Association,California State University-San Marcos,3716,California State University-San Marcos,CA,San Marcos,92096-0001,14174,www.csusm.edu/,7739,19619,21,0.957,NA,3,10550,NA,19772,NA,latest,30198,Cal St. San Marcos,2,California State University San Marcos,Cougars,San Marcos,CA,California Collegiate Athletic Association,NA,NA,596839,2,2025,25,23,0,Cal St. San Marcos,2,2025,40,72.29411765,71.34782609,6,2,14,18,0,CA,AZ,OR,38,1,1
53,110495,California State University-Stanislaus,CA,37.52577,-120.852511,https://www.warriorathletics.com/sports/2014/5/9/GEN_0509144319.aspx?tab=disclosure,Yes,Yes,No,No,138,8024,Undergraduate,Full-time,$110 ,2144,14824,5740,5439,951,Total,Neither required nor recommended,NA,NA,0.947560976,138,California Collegiate Athletic Association,California State University-Stanislaus,195,California State University-Stanislaus,CA,Turlock,95382-0299,8564,https://www.csustan.edu/,7826,19706,23,0.9747,NA,3,5671,NA,16815,NA,latest,103,Stanislaus St.,2,"California State University, Stanislaus",Warriors,Turlock,CA,California Collegiate Athletic Association,NA,NA,596871,2,2025,21,27,0,Stanislaus St.,2,2025,35,73.4375,71.73684211,1,2,11,21,0,CA,AZ,CO,32,1,1
54,111948,Chapman University,CA,33.79302,-117.852518,NA,Yes,Yes,No,No,197,7389,Undergraduate,Full-time,$110 ,25490,53059,15098,9115,1658,Total,Considered,700,710,0.603722347,197,Southern California Intercollegiate Athletic Conference,Chapman University,237,Chapman University,CA,Orange,92866,7629,https://www.chapman.edu/,62784,62784,12,0.5561,1353,5,NA,47527,NA,54519,latest,134,Chapman,3,Chapman University,Panthers,Orange,CA,Southern California Intercollegiate Athletic Conference,NA,NA,597249,3,2025,11,28,0,Chapman,3,2025,36,74.08333333,72.875,14,7,7,8,0,CA,MD,WA,1,1,1
55,112075,Concordia University-Irvine,CA,33.653665,-117.812305,https://www.cui.edu/academicprograms/provost/institutional-research-assessment/index/id/24771,Yes,Yes,No,No,156,1640,Undergraduate,Full-time,$110 ,20124,34097,3265,2657,341,Total,Considered,640,620,0.813782542,156,Pacific West Conference,Concordia University-Irvine,239,Concordia University-Irvine,CA,Irvine,92612-3203,1456,www.cui.edu/,41390,41390,11,0.5986,NA,3,NA,28046,NA,33909,latest,30199,CUI,2,Concordia University-Irvine,Golden Eagles,Irvine,CA,Pacific West Conference,NA,NA,596840,2,2025,22,26,0,CUI,2,2025,41,73.33333333,71.41176471,5,4,14,18,0,CA,HI,NA,12,2,NA
56,114813,Fresno Pacific University,CA,36.726831,-119.735199,www.fresno.edu/about/disclosure-documents,Yes,Yes,No,No,156,1754,Undergraduate,Full-time,$110 ,20890,20686,917,714,200,Total,Considered,620,620,0.778625954,156,Pacific West Conference,Fresno Pacific University,285,Fresno Pacific University,CA,Fresno,93702-4709,1614,www.fresno.edu/,35558,35558,11,0.5752,NA,3,NA,14317,NA,20235,latest,30147,Fresno Pacific,2,Fresno Pacific University,Sunbirds,Fresno,CA,Pacific West Conference,NA,NA,596825,2,2025,23,28,0,Fresno Pacific,2,2025,50,73.85714286,72,8,10,10,22,0,CA,WA,FL,42,4,1
